,ACCX_25,ACCX_50,ACCX_75,ACCY_25,ACCY_50,ACCY_75,ACCZ_25,ACCZ_50,ACCZ_75,GYRX_25,GYRX_50,GYRX_75,GYRY_25,GYRY_50,GYRY_75,GYRZ_25,GYRZ_50,GYRZ_75,label
46,-1.544921875,-1.541015625,-1.537109375,-1.541015625,-1.53125,-1.5283203125,1.2109375,1.216796875,1.22265625,-248.0,248.0,248.75,-247.25,-246.25,-245.75,-248.75,-247.0,249.0,3.0
47,-1.8818359375,-1.513671875,1.587890625,0.8984375,1.056640625,1.1875,1.333984375,1.666015625,1.755859375,-203.75,-173.375,179.25,-10.0,49.5,154.75,-244.25,-185.375,216.75,1.0
48,-1.3125,-1.03125,-0.9345703125,-1.76904296875,-1.564453125,1.8623046875,-1.713623046875,-1.4638671875,-0.95263671875,-163.625,164.0,203.75,-226.5,-188.0,44.6875,-223.0,-203.375,211.25,2.0
49,-1.923828125,-1.7421875,1.451171875,0.73388671875,1.1923828125,1.2734375,1.68505859375,1.7822265625,1.92578125,-235.59375,-144.1875,162.75,-156.65625,10.25,87.9375,-217.375,-172.0,201.25,1.0
50,-1.7431640625,-1.57177734375,-1.267822265625,1.08837890625,1.1767578125,1.26953125,1.380859375,1.60546875,1.74072265625,-194.25,140.0,198.75,-53.625,92.125,132.9375,-197.0,185.5,217.5,1.0
51,-1.61962890625,-1.470703125,-1.28076171875,1.0703125,1.193359375,1.4423828125,1.59375,1.64453125,1.71533203125,-207.6875,-173.5,84.625,-128.34375,137.875,178.0625,-222.375,-197.0,188.6875,1.0
52,-1.630859375,-1.244140625,1.46484375,1.04296875,1.583984375,1.83984375,-1.35205078125,-1.1494140625,-0.970703125,-198.0,-154.25,170.0,-213.875,-167.0,82.0,-206.75,172.0,217.0,2.0
53,-1.55859375,-1.2314453125,-1.16845703125,1.22900390625,1.3046875,1.38623046875,-1.78515625,-1.671875,-1.434814453125,-187.6875,138.25,209.5,-208.0,-179.25,75.25,-111.0625,169.25,215.25,0.0
54,-1.763671875,-1.61328125,-1.349853515625,0.94482421875,1.10546875,1.265625,-1.828125,1.509765625,1.68359375,-196.875,-118.375,184.25,0.0,51.75,163.5625,-191.75,-121.0,162.8125,1.0
55,-1.469482421875,-1.18896484375,-0.9765625,-1.8603515625,1.689453125,1.857421875,-1.53955078125,-1.13671875,-0.936279296875,-239.75,-201.875,212.0625,-225.78125,-207.0,21.75,-216.5625,25.1875,231.375,2.0
56,-1.750732421875,-1.59375,-1.4345703125,1.02734375,1.1826171875,1.29736328125,-1.599609375,-1.4765625,-1.328125,-145.375,180.5,197.0,-163.0,-103.4375,143.5,-208.875,-95.75,172.0,0.0
57,-1.75390625,-1.6640625,-1.517578125,0.83203125,1.0576171875,1.2705078125,-1.73828125,-1.43310546875,1.845703125,-131.0,49.0,214.0,-7.5,22.75,204.375,-228.75,-200.375,199.25,1.0
58,-1.7470703125,1.4482421875,1.75390625,0.85546875,0.9638671875,1.20068359375,-1.880859375,1.7158203125,1.92724609375,-242.625,-207.25,212.75,-149.3125,-76.375,125.375,-205.875,-148.875,219.25,0.0
59,-1.607421875,-1.408203125,-1.19921875,1.349609375,1.537109375,1.755859375,-1.494140625,-1.1279296875,0.8359375,-186.25,-124.625,135.6875,-220.34375,-153.25,0.0,-202.4375,135.625,227.125,2.0
60,1.30859375,1.31640625,1.322265625,1.31640625,1.330078125,1.3359375,1.919921875,1.931640625,1.943359375,-248.125,-244.625,246.5,-247.5,-245.625,-241.5,-249.0,-248.0,248.25,3.0
61,-1.75439453125,-1.16796875,-1.068359375,1.00146484375,1.439453125,1.59765625,-1.500244140625,-1.32421875,1.322265625,-205.125,158.0,222.25,-234.5,207.25,233.75,-230.96875,186.5,214.5,1.0
62,-1.526123046875,-1.3818359375,-1.296875,1.1669921875,1.2470703125,1.3408203125,-1.85546875,-1.67431640625,-1.525390625,150.0,177.0,215.0,-201.0625,-166.375,48.375,-221.5,54.875,202.0,0.0
63,1.060546875,1.0625,1.06640625,1.794921875,1.80078125,1.802734375,-1.9423828125,-1.939453125,-1.93701171875,-248.375,243.75,248.75,-247.875,-246.125,-243.875,-249.125,-247.125,247.75,3.0
64,-1.8544921875,-1.662109375,-1.30224609375,0.8076171875,1.01953125,1.3408203125,-1.7626953125,-1.599609375,-1.26953125,-210.375,0.0,87.25,-213.0,-139.5,40.75,-196.875,136.0,213.5,0.0
65,-1.646484375,-1.490234375,-1.34375,1.0546875,1.083984375,1.314453125,1.70751953125,1.755859375,1.84130859375,-197.625,-170.5,100.75,-36.5,116.25,192.75,-225.125,212.25,237.25,1.0
66,-1.62841796875,-1.21630859375,-0.998046875,1.6123046875,1.66796875,1.76171875,-1.418701171875,-0.90966796875,-0.190673828125,-222.96875,-163.5625,179.3125,-199.46875,-168.375,98.5625,-194.40625,11.75,201.0625,2.0
67,-1.462890625,-1.349609375,-1.0703125,1.3271484375,1.443359375,1.59765625,-1.666015625,-1.142578125,1.06640625,-214.75,-170.25,182.75,-208.75,-148.125,0.0,106.5,158.25,228.25,2.0
